STATION,LATITUDE,LONGITUDE,year,month,day,HPCP
COOP:040014,34.5,-118.26667,1992,1,3,0.2
COOP:040014,34.5,-118.26667,1992,1,5,1.2000000000000002
COOP:040014,34.5,-118.26667,1992,1,7,0.9
COOP:040014,34.5,-118.26667,1992,1,8,0.4
COOP:040014,34.5,-118.26667,1992,3,20,0.9000000000000001
COOP:040014,34.5,-118.26667,1992,3,21,0.4
COOP:040014,34.5,-118.26667,1992,3,22,0.30000000000000004
COOP:040014,34.5,-118.26667,1992,3,23,0.30000000000000004
COOP:040014,34.5,-118.26667,1992,3,27,0.8
COOP:040014,34.5,-118.26667,1992,3,30,0.1
COOP:040014,34.5,-118.26667,1992,3,31,0.1
COOP:040014,34.5,-118.26667,1992,4,1,0.2
COOP:040014,34.5,-118.26667,1992,4,2,0.1
COOP:040014,34.5,-118.26667,1992,5,5,0.2
COOP:040014,34.5,-118.26667,1992,10,22,0.1
COOP:040014,34.5,-118.26667,1992,10,23,0.30000000000000004
COOP:040014,34.5,-118.26667,1992,10,24,0.30000000000000004
COOP:040014,34.5,-118.26667,1992,10,30,0.5
COOP:040161,41.5,-120.55,1992,1,7,0.1
COOP:040161,41.5,-120.55,1992,2,13,0.1
COOP:040161,41.5,-120.55,1992,2,18,0.1
COOP:040161,41.5,-120.55,1992,2,21,0.2
COOP:040161,41.5,-120.55,1992,3,3,0.1
COOP:040161,41.5,-120.55,1992,3,5,0.1
COOP:040161,41.5,-120.55,1992,3,6,0.6
COOP:040161,41.5,-120.55,1992,3,7,0.4
COOP:040161,41.5,-120.55,1992,3,16,0.1
COOP:040161,41.5,-120.55,1992,3,22,0.1
COOP:040161,41.5,-120.55,1992,3,25,0.1
COOP:040161,41.5,-120.55,1992,4,4,0.2
COOP:040161,41.5,-120.55,1992,4,10,0.30000000000000004
COOP:040161,41.5,-120.55,1992,4,12,0.1
COOP:040161,41.5,-120.55,1992,4,16,0.1
COOP:040161,41.5,-120.55,1992,6,13,0.2
COOP:040161,41.5,-120.55,1992,6,17,0.1
COOP:040161,41.5,-120.55,1992,6,18,0.1
COOP:040161,41.5,-120.55,1992,6,24,0.7
COOP:040161,41.5,-120.55,1992,6,25,0.30000000000000004
COOP:040161,41.5,-120.55,1992,6,29,0.30000000000000004
COOP:040161,41.5,-120.55,1992,6,30,0.2
COOP:040161,41.5,-120.55,1992,7,12,0.1
COOP:040161,41.5,-120.55,1992,9,24,0.1
COOP:040161,41.5,-120.55,1992,10,2,0.1
COOP:040161,41.5,-120.55,1992,10,21,0.1
COOP:040161,41.5,-120.55,1992,10,28,0.30000000000000004
COOP:040161,41.5,-120.55,1992,10,29,0.5
COOP:040161,41.5,-120.55,1992,10,30,0.7999999999999999
COOP:040161,41.5,-120.55,1992,10,31,0.30000000000000004
COOP:040161,41.5,-120.55,1992,11,1,0.2
COOP:040161,41.5,-120.55,1992,11,19,0.2
COOP:040161,41.5,-120.55,1992,11,27,0.1
COOP:040161,41.5,-120.55,1992,12,8,0.1
COOP:040161,41.5,-120.55,1992,12,9,0.4
COOP:040161,41.5,-120.55,1992,12,10,0.5
COOP:040161,41.5,-120.55,1992,12,11,0.1
COOP:040161,41.5,-120.55,1992,12,28,0.30000000000000004
COOP:040161,41.5,-120.55,1992,12,29,0.1
COOP:040161,41.5,-120.55,1992,12,30,0.1
COOP:040161,41.5,-120.55,1992,12,31,0.1
COOP:040212,38.56667,-122.43333,1992,1,4,0.9
COOP:040212,38.56667,-122.43333,1992,1,5,0.6
COOP:040212,38.56667,-122.43333,1992,1,6,0.2
COOP:040212,38.56667,-122.43333,1992,1,7,0.4
COOP:040212,38.56667,-122.43333,1992,1,17,0.1
COOP:040212,38.56667,-122.43333,1992,1,28,0.2
COOP:040212,38.56667,-122.43333,1992,2,1,0.7000000000000001
COOP:040212,38.56667,-122.43333,1992,2,9,0.6
COOP:040212,38.56667,-122.43333,1992,2,10,1.5000000000000002
COOP:040212,38.56667,-122.43333,1992,2,11,1.5
COOP:040212,38.56667,-122.43333,1992,2,12,0.7
COOP:040212,38.56667,-122.43333,1992,2,13,0.2
COOP:040212,38.56667,-122.43333,1992,2,14,1.7000000000000002
COOP:040212,38.56667,-122.43333,1992,2,15,1.0000000000000002
COOP:040212,38.56667,-122.43333,1992,2,16,0.7
COOP:040212,38.56667,-122.43333,1992,2,17,0.1
COOP:040212,38.56667,-122.43333,1992,2,18,0.7999999999999999
COOP:040212,38.56667,-122.43333,1992,2,19,1.9000000000000001
COOP:040212,38.56667,-122.43333,1992,2,21,0.4
COOP:040212,38.56667,-122.43333,1992,3,1,0.2
COOP:040212,38.56667,-122.43333,1992,3,14,0.8999999999999999
COOP:040212,38.56667,-122.43333,1992,3,15,2.0000000000000004
COOP:040212,38.56667,-122.43333,1992,3,16,0.5
COOP:040212,38.56667,-122.43333,1992,3,22,0.30000000000000004
COOP:040212,38.56667,-122.43333,1992,3,23,0.30000000000000004
COOP:040212,38.56667,-122.43333,1992,4,11,0.7
COOP:040212,38.56667,-122.43333,1992,4,12,0.7999999999999999
COOP:040212,38.56667,-122.43333,1992,4,17,0.1
COOP:040212,38.56667,-122.43333,1992,6,28,0.1
COOP:040212,38.56667,-122.43333,1992,6,29,1.0999999999999999
COOP:040212,38.56667,-122.43333,1992,6,30,0.1
COOP:040212,38.56667,-122.43333,1992,10,1,0.2
COOP:040212,38.56667,-122.43333,1992,10,2,0.2
COOP:040212,38.56667,-122.43333,1992,10,20,1.2000000000000002
COOP:040212,38.56667,-122.43333,1992,10,21,0.1
COOP:040212,38.56667,-122.43333,1992,10,29,2.9000000000000004
COOP:040212,38.56667,-122.43333,1992,10,30,0.1
COOP:040212,38.56667,-122.43333,1992,10,31,0.4
COOP:040212,38.56667,-122.43333,1992,11,1,0.1
COOP:040212,38.56667,-122.43333,1992,11,19,0.1
COOP:040212,38.56667,-122.43333,1992,11,21,0.1
COOP:040212,38.56667,-122.43333,1992,11,22,0.2
COOP:040212,38.56667,-122.43333,1992,12,2,0.9999999999999999
COOP:040212,38.56667,-122.43333,1992,12,3,0.2
COOP:040212,38.56667,-122.43333,1992,12,5,0.1
COOP:040212,38.56667,-122.43333,1992,12,6,2.3000000000000003
COOP:040212,38.56667,-122.43333,1992,12,7,0.1
COOP:040212,38.56667,-122.43333,1992,12,8,2.5999999999999996
COOP:040212,38.56667,-122.43333,1992,12,9,1.5999999999999999
COOP:040212,38.56667,-122.43333,1992,12,10,1.6000000000000003
COOP:040212,38.56667,-122.43333,1992,12,11,0.30000000000000004
COOP:040212,38.56667,-122.43333,1992,12,12,0.1
COOP:040212,38.56667,-122.43333,1992,12,17,0.30000000000000004
COOP:040212,38.56667,-122.43333,1992,12,21,0.1
COOP:040212,38.56667,-122.43333,1992,12,27,0.1
COOP:040212,38.56667,-122.43333,1992,12,28,1.5000000000000002
COOP:040212,38.56667,-122.43333,1992,12,29,0.4
COOP:040322,36.23333,-121.48333,1992,1,5,1.2
COOP:040322,36.23333,-121.48333,1992,3,5,1.1
COOP:040322,36.23333,-121.48333,1992,3,6,0.7999999999999999
COOP:040322,36.23333,-121.48333,1992,3,14,0.1
COOP:040322,36.23333,-121.48333,1992,3,20,0.4
