,STATION,LATITUDE,LONGITUDE
0,COOP:040014,34.5,-118.26667
18,COOP:040161,41.5,-120.55
59,COOP:040212,38.56667,-122.43333
116,COOP:040322,36.23333,-121.48333
140,COOP:040368,38.43333,-122.25
160,COOP:040422,36.63333,-119.01667
168,COOP:040442,35.41667,-119.05
202,COOP:040449,36.91667,-119.08333
240,COOP:040546,40.4,-122.15
292,COOP:040606,33.93333,-116.98333
329,COOP:040731,41.11667,-121.13333
351,COOP:040742,34.25,-116.98333
405,COOP:040779,34.38333,-117.68333
438,COOP:040822,37.36667,-118.36667
443,COOP:040883,38.91667,-120.66667
489,COOP:040897,39.28333,-120.7
523,COOP:040925,33.61667,-114.71667
543,COOP:040979,35.0,-117.65
569,COOP:041005,37.15,-122.2
625,COOP:041018,39.45,-120.65
639,COOP:041057,33.88333,-117.93333
680,COOP:041076,38.25,-119.23333
707,COOP:041084,40.48333,-123.88333
785,COOP:041130,39.68333,-121.33333
835,COOP:041142,35.8,-121.1
881,COOP:041194,34.18333,-118.35
900,COOP:041253,34.58333,-119.98333
937,COOP:041272,34.38333,-117.6
973,COOP:041277,38.28333,-120.31667
1010,COOP:041369,34.15,-116.98333
1064,COOP:041428,38.24861,-120.84333
1116,COOP:041462,39.45,-121.05
1170,COOP:041497,40.16667,-121.08333
1189,COOP:041507,38.73333,-122.13333
1227,COOP:041518,33.91667,-117.78333
1265,COOP:041520,33.95,-117.78333
1305,COOP:041540,34.4,-119.48333
1339,COOP:041682,34.23333,-118.61667
1377,COOP:041715,39.68333,-121.81667
1400,COOP:041754,34.8,-119.01667
1449,COOP:041839,38.78333,-123.01667
1496,COOP:041864,36.13333,-120.36667
1522,COOP:041886,41.08333,-122.71667
1590,COOP:042012,36.1,-119.56667
1610,COOP:042048,36.98333,-121.8
1657,COOP:042084,39.83333,-123.08333
1722,COOP:042164,34.23333,-117.3
1774,COOP:042239,32.98333,-116.58333
1825,COOP:042255,34.86667,-116.85
1836,COOP:042294,38.53333,-121.78333
1887,COOP:042306,41.21667,-121.38333
1926,COOP:042362,36.6,-121.86667
1956,COOP:042500,39.56667,-120.83333
2019,COOP:042713,32.76667,-115.56667
2043,COOP:042749,41.98333,-123.71667
2116,COOP:042805,33.66667,-117.33333
2152,COOP:042895,34.13333,-117.51667
2191,COOP:042899,41.45,-122.9
2262,COOP:042910,40.8,-124.16667
2371,COOP:042935,38.28333,-122.03333
2409,COOP:043038,38.52361,-120.70611
2466,COOP:043048,34.73333,-120.0
2499,COOP:043093,37.26667,-118.96667
2548,COOP:043161,39.51667,-123.76667
2628,COOP:043182,41.6,-122.85
2690,COOP:043194,40.21667,-123.63333
2738,COOP:043257,36.78333,-119.71667
2775,COOP:043285,33.9,-117.88333
2817,COOP:043357,41.85,-123.96667
2920,COOP:043384,38.93333,-120.8
2938,COOP:043402,34.51667,-119.68333
2979,COOP:043419,37.03333,-121.43333
3030,COOP:043465,35.73333,-118.68333
3044,COOP:043573,39.2,-121.06667
3104,COOP:043669,37.85,-120.23333
3136,COOP:043751,34.26667,-118.4
3181,COOP:043761,41.79612,-123.37469
3261,COOP:043791,40.36667,-122.96667
3332,COOP:043855,33.7,-115.63333
3352,COOP:043891,39.06667,-120.41667
3402,COOP:043928,36.3,-120.7
3446,COOP:043939,37.95,-119.78333
3500,COOP:044025,36.85,-121.41667
3528,COOP:044035,36.91667,-121.25
3578,COOP:044089,41.05,-123.68333
3650,COOP:044144,35.08333,-120.38333
3662,COOP:044176,37.23333,-119.21667
3719,COOP:044181,33.68333,-116.68333
3766,COOP:044191,40.61667,-123.45
3844,COOP:044211,33.75,-116.71667
3895,COOP:044232,36.8,-118.2
3912,COOP:044297,34.13333,-115.13333
3934,COOP:044555,36.2,-121.13333
3965,COOP:044577,41.51667,-124.03333
4061,COOP:044587,40.63333,-123.9
4123,COOP:044650,33.55,-117.8
4133,COOP:044689,39.2,-123.18333
4199,COOP:044762,35.36667,-120.21667
4235,COOP:044867,34.08333,-118.88333
4278,COOP:045026,36.6,-118.73333
4328,COOP:045067,36.45,-118.05
4346,COOP:045085,33.81667,-118.15
4388,COOP:045100,35.38333,-118.41667
4389,COOP:045114,33.93333,-118.4
4431,COOP:045115,34.05,-118.23333
4474,COOP:045151,35.61667,-119.68333
4499,COOP:045184,35.88333,-121.45
4526,COOP:045212,34.1,-117.33333
4558,COOP:045218,34.23333,-117.46667
4580,COOP:045258,38.85,-122.78333
4636,COOP:045356,38.7,-119.78333
4679,COOP:045371,37.96667,-122.13333
4726,COOP:045417,34.48333,-119.3
4765,COOP:045535,37.3,-120.48333
4794,COOP:045623,40.13333,-120.35
4826,COOP:045632,34.08333,-116.93333
4871,COOP:045637,34.38333,-118.08333
4912,COOP:045669,36.28333,-118.76667
4950,COOP:045679,40.35,-121.6
5001,COOP:045711,40.18333,-123.78333
5079,COOP:045741,37.6425,-121.00889
5121,COOP:045756,35.05,-118.16667
5150,COOP:045785,41.75,-122.46667
5197,COOP:045840,32.68333,-116.51667
5236,COOP:045853,37.13333,-121.65
5267,COOP:045983,41.31667,-122.31667
5327,COOP:045996,37.9,-122.6
5382,COOP:046105,39.16667,-123.56667
5451,COOP:046115,34.83333,-114.6
5476,COOP:046154,34.95,-119.68333
5506,COOP:046162,34.38333,-118.53333
5541,COOP:046232,39.36667,-120.9
5599,COOP:046290,38.13333,-122.71667
5655,COOP:046319,33.38333,-116.78333
5698,COOP:046379,33.21667,-117.35
5731,COOP:046473,33.93333,-117.88333
5768,COOP:046521,39.51667,-121.55
5827,COOP:046577,34.68333,-119.35
5869,COOP:046624,34.58333,-118.1
5903,COOP:046657,33.35,-116.86667
5945,COOP:046699,34.28333,-114.16667
5975,COOP:046726,39.88333,-122.53333
6014,COOP:046730,35.63333,-120.68333
6046,COOP:046826,38.26667,-122.65
6098,COOP:046893,38.18333,-120.0
6144,COOP:046910,34.6,-119.35
6192,COOP:046942,34.4,-118.7
6224,COOP:046964,38.73333,-120.85
6271,COOP:046998,39.75,-120.7
6334,COOP:047085,39.8,-120.46667
6366,COOP:047109,39.36667,-123.13333
6430,COOP:047123,33.88333,-117.63333
6461,COOP:047293,40.16667,-122.21667
6476,COOP:047304,40.5,-122.3
6535,COOP:047473,33.96667,-117.35
