,Unnamed: 0,STATION,LATITUDE,LONGITUDE,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STCT_FIPS
0,0,COOP:040014,34.5,-118.26667,POINT (-118.26667 34.5),14878,06,037,910814,1,060379108141,Block Group 1,G5030,S,35197456,13461,+34.4983871,-118.3010250,06037
1,18,COOP:040161,41.5,-120.55,POINT (-120.55 41.5),18327,06,049,000100,1,060490001001,Block Group 1,G5030,S,17614011,69583,+41.5068637,-120.5480690,06049
2,59,COOP:040212,38.56667,-122.43333,POINT (-122.43333 38.56667),13448,06,055,201700,2,060552017002,Block Group 2,G5030,S,4947802,60586,+38.5771181,-122.4328772,06055
3,116,COOP:040322,36.23333,-121.48333,POINT (-121.48333 36.23333),4991,06,053,011303,3,060530113033,Block Group 3,G5030,S,537452201,1370680,+36.1843316,-121.3437829,06053
4,140,COOP:040368,38.43333,-122.25,POINT (-122.25 38.43333),402,06,055,201403,1,060552014031,Block Group 1,G5030,S,236159048,2176506,+38.4219801,-122.1823391,06055
5,160,COOP:040422,36.63333,-119.01667,POINT (-119.01667 36.63333),22562,06,107,000102,2,061070001022,Block Group 2,G5030,S,450665508,180762,+36.5534424,-119.0814786,06107
6,168,COOP:040442,35.41667,-119.05,POINT (-119.05 35.41667),3880,06,029,000202,3,060290002023,Block Group 3,G5030,S,802860,0,+35.4156660,-119.0484710,06029
7,202,COOP:040449,36.91667,-119.08333,POINT (-119.08333 36.91667),3747,06,019,006408,1,060190064081,Block Group 1,G5030,S,3321551634,51845624,+37.2236095,-119.0009358,06019
62,2499,COOP:043093,37.26667,-118.96667,POINT (-118.96667 37.26667),3747,06,019,006408,1,060190064081,Block Group 1,G5030,S,3321551634,51845624,+37.2236095,-119.0009358,06019
8,240,COOP:040546,40.4,-122.15,POINT (-122.15 40.4),11766,06,089,012603,4,060890126034,Block Group 4,G5030,S,186351874,1427722,+40.4567487,-122.0786081,06089
9,292,COOP:040606,33.93333,-116.98333,POINT (-116.98333 33.93333),18384,06,065,043900,2,060650439002,Block Group 2,G5030,S,603508,0,+33.9347247,-116.9779853,06065
10,329,COOP:040731,41.11667,-121.13333,POINT (-121.13333 41.11667),22686,06,035,040100,1,060350401001,Block Group 1,G5030,S,449443660,5039595,+41.0685043,-121.1223219,06035
11,351,COOP:040742,34.25,-116.98333,POINT (-116.98333 34.25),1149,06,071,011300,1,060710113001,Block Group 1,G5030,S,159570511,11053561,+34.3028175,-116.9906519,06071
12,405,COOP:040779,34.38333,-117.68333,POINT (-117.68333 34.38333),14970,06,037,930400,3,060379304003,Block Group 3,G5030,S,1028743294,4125703,+34.2803329,-117.8661408,06037
116,4871,COOP:045637,34.38333,-118.08333,POINT (-118.08333 34.38333),14970,06,037,930400,3,060379304003,Block Group 3,G5030,S,1028743294,4125703,+34.2803329,-117.8661408,06037
168,7291,COOP:047779,34.2,-117.86667,POINT (-117.86667 34.2),14970,06,037,930400,3,060379304003,Block Group 3,G5030,S,1028743294,4125703,+34.2803329,-117.8661408,06037
13,438,COOP:040822,37.36667,-118.36667,POINT (-118.36667 37.36667),16470,06,027,000100,1,060270001001,Block Group 1,G5030,S,775257740,1469886,+37.3568746,-118.1969719,06027
243,937,COOP:040823,37.36833,-118.36472,POINT (-118.36472 37.36833),16470,06,027,000100,1,060270001001,Block Group 1,G5030,S,775257740,1469886,+37.3568746,-118.1969719,06027
14,443,COOP:040883,38.91667,-120.66667,POINT (-120.66667 38.91667),23823,06,017,030604,1,060170306041,Block Group 1,G5030,S,176970600,185101,+38.9508575,-120.7300282,06017
69,2920,COOP:043384,38.93333,-120.8,POINT (-120.8 38.93333),23823,06,017,030604,1,060170306041,Block Group 1,G5030,S,176970600,185101,+38.9508575,-120.7300282,06017
15,489,COOP:040897,39.28333,-120.7,POINT (-120.7 39.28333),17468,06,061,022013,1,060610220131,Block Group 1,G5030,S,232719842,1706760,+39.2517939,-120.6665614,06061
16,523,COOP:040925,33.61667,-114.71667,POINT (-114.71667 33.61667),16756,06,065,046900,1,060650469001,Block Group 1,G5030,S,211299348,0,+33.7033853,-114.7135661,06065
233,695,COOP:040927,33.61667,-114.71667,POINT (-114.71667 33.61667),16756,06,065,046900,1,060650469001,Block Group 1,G5030,S,211299348,0,+33.7033853,-114.7135661,06065
17,543,COOP:040979,35.0,-117.65,POINT (-117.65 35),10130,06,029,005600,2,060290056002,Block Group 2,G5030,S,15701182,559,+34.9947033,-117.6752445,06029
18,569,COOP:041005,37.15,-122.2,POINT (-122.2 37.15),18051,06,087,120200,2,060871202002,Block Group 2,G5030,S,198917517,6328371,+37.1143346,-122.2371618,06087
19,625,COOP:041018,39.45,-120.65,POINT (-120.65 39.45),2885,06,057,000900,4,060570009004,Block Group 4,G5030,S,1004308455,27630008,+39.4026759,-120.4865729,06057
193,8300,COOP:048332,39.31667,-120.36667,POINT (-120.36667 39.31667),2885,06,057,000900,4,060570009004,Block Group 4,G5030,S,1004308455,27630008,+39.4026759,-120.4865729,06057
20,639,COOP:041057,33.88333,-117.93333,POINT (-117.93333 33.88333),11868,06,059,001706,2,060590017062,Block Group 2,G5030,S,660938,0,+33.8853400,-117.9353314,06059
21,680,COOP:041076,38.25,-119.23333,POINT (-119.23333 38.25),21341,06,051,000102,3,060510001023,Block Group 3,G5030,S,1650559945,16976884,+38.2649363,-119.3200590,06051
22,707,COOP:041084,40.48333,-123.88333,POINT (-123.88333 40.48333),1099,06,023,010902,1,060230109021,Block Group 1,G5030,S,724881347,670590,+40.4760833,-123.7334396,06023
235,3516,COOP:043647,40.48333,-123.91667,POINT (-123.91667 40.48333),1099,06,023,010902,1,060230109021,Block Group 1,G5030,S,724881347,670590,+40.4760833,-123.7334396,06023
23,785,COOP:041130,39.68333,-121.33333,POINT (-121.33333 39.68333),7940,06,007,002402,1,060070024021,Block Group 1,G5030,S,379966782,4097355,+39.6210376,-121.2481602,06007
24,835,COOP:041142,35.8,-121.1,POINT (-121.1 35.8),10584,06,053,011400,2,060530114002,Block Group 2,G5030,S,1387967834,33031841,+35.9253897,-121.2190593,06053
106,4499,COOP:045184,35.88333,-121.45,POINT (-121.45 35.88333),10584,06,053,011400,2,060530114002,Block Group 2,G5030,S,1387967834,33031841,+35.9253897,-121.2190593,06053
25,881,COOP:041194,34.18333,-118.35,POINT (-118.35 34.18333),15139,06,037,311100,2,060373111002,Block Group 2,G5030,S,381423,0,+34.1830005,-118.3542908,06037
26,900,COOP:041253,34.58333,-119.98333,POINT (-119.98333 34.58333),2916,06,083,001907,1,060830019071,Block Group 1,G5030,S,235152589,6962077,+34.5499261,-120.0082874,06083
175,7536,COOP:047859,34.51667,-119.81667,POINT (-119.81667 34.51667),2916,06,083,001907,1,060830019071,Block Group 1,G5030,S,235152589,6962077,+34.5499261,-120.0082874,06083
27,937,COOP:041272,34.38333,-117.6,POINT (-117.6 34.38333),24015,06,071,009121,1,060710091211,Block Group 1,G5030,S,9837065,7094,+34.3997895,-117.5991323,06071
28,973,COOP:041277,38.28333,-120.31667,POINT (-120.31667 38.28333),21605,06,009,000504,1,060090005041,Block Group 1,G5030,S,28118914,89468,+38.2858121,-120.2987076,06009
29,1010,COOP:041369,34.15,-116.98333,POINT (-116.98333 34.15),19889,06,071,011500,1,060710115001,Block Group 1,G5030,S,168422883,511332,+34.1178054,-116.9832659,06071
177,7615,COOP:047891,34.1,-117.1,POINT (-117.1 34.1),19889,06,071,011500,1,060710115001,Block Group 1,G5030,S,168422883,511332,+34.1178054,-116.9832659,06071
30,1064,COOP:041428,38.24861,-120.84333,POINT (-120.84333 38.24861),2256,06,009,000221,3,060090002213,Block Group 3,G5030,S,82226313,8764492,+38.2302567,-120.7849372,06009
31,1116,COOP:041462,39.45,-121.05,POINT (-121.05 39.45),1685,06,115,041101,1,061150411011,Block Group 1,G5030,S,298240466,16529900,+39.4828724,-121.1090654,06115
234,1265,COOP:041460,39.43333,-121.06667,POINT (-121.06667 39.43333),1685,06,115,041101,1,061150411011,Block Group 1,G5030,S,298240466,16529900,+39.4828724,-121.1090654,06115
32,1170,COOP:041497,40.16667,-121.08333,POINT (-121.08333 40.16667),19487,06,063,000502,2,060630005022,Block Group 2,G5030,S,511381456,106986049,+40.1763210,-121.2226095,06063
33,1189,COOP:041507,38.73333,-122.13333,POINT (-122.13333 38.73333),6191,06,113,011500,2,061130115002,Block Group 2,G5030,S,410285423,1734907,+38.8306164,-122.1260372,06113
34,1227,COOP:041518,33.91667,-117.78333,POINT (-117.78333 33.91667),25466,06,059,021832,1,060590218321,Block Group 1,G5030,S,15011538,25233,+33.9292416,-117.7784544,06059
35,1265,COOP:041520,33.95,-117.78333,POINT (-117.78333 33.95),5699,06,071,000111,1,060710001111,Block Group 1,G5030,S,4067908,0,+33.9485583,-117.7751085,06071
36,1305,COOP:041540,34.4,-119.48333,POINT (-119.48333 34.4),23227,06,083,001706,1,060830017061,Block Group 1,G5030,S,111925062,178550,+34.4401328,-119.5033056,06083
